X-Axis,Z Scores
-94.55972798639932,0.0
-94.54972748637432,0.0
-94.53972698634932,0.0
-94.52972648632432,0.0
-94.51972598629932,0.0
-94.50972548627432,0.0
-94.4997249862493,0.0
-94.4897244862243,0.0
-94.4797239861993,0.0
-94.4697234861743,0.0
-94.4597229861493,0.0
-94.4497224861243,0.0
-94.4397219860993,0.0
-94.4297214860743,0.0
-94.4197209860493,0.0
-94.4097204860243,0.0
-94.3997199859993,0.0
-94.3897194859743,0.0
-94.3797189859493,0.0
-94.3697184859243,0.0
-94.3597179858993,0.0
-94.3497174858743,0.0
-94.3397169858493,0.0
-94.32971648582429,0.0
-94.31971598579929,0.0
-94.30971548577429,0.0
-94.29971498574929,0.0
-94.28971448572429,0.0
-94.27971398569929,0.0
-94.26971348567429,0.0
-94.25971298564929,0.0
-94.24971248562429,0.0
-94.23971198559929,0.0
-94.22971148557428,0.0
-94.21971098554928,0.0
-94.20971048552428,0.0
-94.19970998549927,0.0
-94.18970948547427,0.0
-94.17970898544927,0.0
-94.16970848542427,0.0
-94.15970798539927,0.0
-94.14970748537426,0.0
-94.13970698534926,0.0
-94.12970648532426,0.0
-94.11970598529926,0.0
-94.10970548527426,0.0
-94.09970498524926,0.0
-94.08970448522426,0.0
-94.07970398519926,0.0
-94.06970348517426,0.0
-94.05970298514926,0.0
-94.04970248512426,0.0
-94.03970198509926,0.0
-94.02970148507426,0.0
-94.01970098504925,0.0
-94.00970048502425,0.0
-93.99969998499925,0.0
-93.98969948497425,0.0
-93.97969898494925,0.0
-93.96969848492425,0.0
-93.95969798489925,0.0
-93.94969748487425,0.0
-93.93969698484925,0.0
-93.92969648482423,0.0
-93.91969598479923,0.0
-93.90969548477423,0.0
-93.89969498474923,0.0
-93.88969448472423,0.0
-93.87969398469923,0.0
-93.86969348467423,0.0
-93.85969298464923,0.0
-93.84969248462423,0.0
-93.83969198459923,0.0
-93.82969148457423,0.0
-93.81969098454923,0.0
-93.80969048452422,0.0
-93.79968998449922,0.0
-93.78968948447422,0.0
-93.77968898444922,0.0
-93.76968848442422,0.0
-93.75968798439922,0.0
-93.74968748437422,0.0
-93.73968698434922,0.0
-93.72968648432422,0.0
-93.71968598429922,0.0
-93.70968548427422,0.0
-93.69968498424922,0.0
-93.68968448422422,0.0
-93.67968398419922,0.0
-93.66968348417421,0.0
-93.65968298414921,0.0
-93.64968248412421,0.0
-93.63968198409921,0.0
-93.6296814840742,0.0
-93.6196809840492,0.0
-93.6096804840242,0.0
-93.5996799839992,0.0
-93.5896794839742,0.0
-93.5796789839492,0.0
-93.56967848392419,0.0
-93.55967798389919,0.0
-93.54967748387419,0.0
-93.53967698384919,0.0
-93.52967648382419,0.0
-93.51967598379919,0.0
-93.50967548377419,0.0
-93.49967498374919,0.0
-93.48967448372419,0.0
-93.47967398369919,0.0
-93.46967348367419,0.0
-93.45967298364918,0.0
-93.44967248362418,0.0
-93.43967198359918,0.0
-93.42967148357418,0.0
-93.41967098354918,0.0
-93.40967048352418,0.0
-93.39966998349918,0.0
-93.38966948347418,0.0
-93.37966898344918,0.0
-93.36966848342416,0.0
-93.35966798339916,0.0
-93.34966748337416,0.0
-93.33966698334916,0.0
-93.32966648332416,0.0
-93.31966598329916,0.0
-93.30966548327416,0.0
-93.29966498324916,0.0
-93.28966448322416,0.0
-93.27966398319916,0.0
-93.26966348317416,0.0
-93.25966298314916,0.0
-93.24966248312415,0.0
-93.23966198309915,0.0
-93.22966148307415,0.0
-93.21966098304915,0.0
-93.20966048302415,0.0
-93.19965998299915,0.0
-93.18965948297415,0.0
-93.17965898294915,0.0
-93.16965848292415,0.0
-93.15965798289915,0.0
-93.14965748287415,0.0
